,,,10,0.9,0.005,0.5,250
-60.5,21,8422,,,,,
-56.3,18,8433,,,,,
-59,18,8443,,,,,
-61.8,20,8454,,,,,
-62.8,22,8466,,,,,
-61,22,8477,,,,,
-61,22,8488,,,,,
-59.6,21,8499,,,,,
-60.5,21,8509,,,,,
-50.7,14,8520,,,,,
-57,14,8530,,,,,
-68.2,22,8541,,,,,
-61,22,8561,,,,,
-61,22,8571,,,,,
-61,22,8581,,,,,
-61,22,8592,,,,,
-77.8,34,8602,,,,,
-65.6,33,8612,,,,,
-66.5,33,8623,,,,,
-51.1,22,8633,,,,,
-61,22,8644,,,,,
-61,22,8654,,,,,
-59.6,21,8665,,,,,
-57.7,19,8675,,,,,
-62.3,21,8685,,,,,
-73.1,30,8696,,,,,
-70.6,34,8706,,,,,
-61.4,30,8716,,,,,
-52.4,21,8727,,,,,
-59.1,20,8738,,,,,
-55.8,17,8748,,,,,
-58.5,17,8759,,,,,
-58.5,17,8769,,,,,
-58.5,17,8780,,,,,
-58.5,17,8791,,,,,
-58.5,17,8801,,,,,
-58.5,17,8812,,,,,
-58.5,17,8823,,,,,
-58.5,17,8834,,,,,
-58.5,17,8845,,,,,
-58.5,17,8855,,,,,
-58.5,17,8866,,,,,
-58.5,17,8877,,,,,
-58.5,17,8888,,,,,
-58.5,17,8899,,,,,
-59.9,18,8910,,,,,
-57.6,17,8920,,,,,
-58.5,17,8931,,,,,
-58.5,17,8942,,,,,
-55.7,15,8952,,,,,
-65.9,21,8963,,,,,
-60.5,21,8974,,,,,
-60.5,21,9008,,,,,
-60.5,21,9021,,,,,
-60.5,21,9031,,,,,
-60.5,21,9186,,,,,
-60.5,21,9196,,,,,
-57.7,19,9207,,,,,
-59.5,19,9217,,,,,
-59.5,19,9228,,,,,
-63.7,22,9238,,,,,
-61,22,9249,,,,,
-61,22,9259,,,,,
-61,22,9270,,,,,
-62.4,23,9281,,,,,
-69.9,29,9291,,,,,
-58.9,25,9301,,,,,
-58.3,22,9311,,,,,
-61,22,9322,,,,,
-58.2,20,9332,,,,,
-74,30,9343,,,,,
-65,30,9353,,,,,
-65,30,9364,,,,,
-65,30,9374,,,,,
-52.4,21,9385,,,,,
-60.5,21,9395,,,,,
-54.9,17,9406,,,,,
-57.1,16,9416,,,,,
-58,16,9427,,,,,
-58,16,9438,,,,,
-58,16,9448,,,,,
-58,16,9459,,,,,
-58,16,9469,,,,,
-63.6,20,9480,,,,,
-60,20,9490,,,,,
-60,20,9501,,,,,
-60,20,9512,,,,,
-60,20,9522,,,,,
-48.8,12,9533,,,,,
-56,12,9543,,,,,
-65.8,19,9554,,,,,
-60.9,20,9564,,,,,
-60,20,9574,,,,,
-58.6,19,9585,,,,,
-59.5,19,9596,,,,,
-55.3,16,9606,,,,,
-58,16,9617,,,,,
-58,16,9627,,,,,
-62.2,19,9637,,,,,
-67.9,25,9648,,,,,
-56.9,21,9658,,,,,
-61.9,22,9668,,,,,
-75,32,9678,,,,,
-52,22,9689,,,,,
-61,22,9699,,,,,
-59.6,21,9710,,,,,
-56.3,18,9720,,,,,
-59,18,9731,,,,,
-59,18,9742,,,,,
-59,18,9752,,,,,
-59,18,9762,,,,,
-59,18,9773,,,,,
-59,18,9783,,,,,
-59,18,9794,,,,,
-59,18,9804,,,,,
-59,18,9815,,,,,
-59,18,9825,,,,,
-74.4,29,9836,,,,,
-64.5,29,9846,,,,,
-60.3,26,9856,,,,,
-63,26,9867,,,,,
-53.2,19,9877,,,,,
-58.1,18,9888,,,,,
-64.6,22,9899,,,,,
-61,22,9909,,,,,
-61,22,9919,,,,,
-61,22,9930,,,,,
-61,22,9940,,,,,
-59.6,21,9951,,,,,
-56.3,18,9961,,,,,
-59,18,9971,,,,,
-60.4,19,9982,,,,,
-60.9,20,9993,,,,,
-60,20,10004,,,,,
-58.6,19,10014,,,,,
-59.5,19,10025,,,,,
-55.3,16,10036,,,,,
-58,16,10047,,,,,
-58,16,10057,,,,,
-58,16,10067,,,,,
-58,16,10078,,,,,
-62.2,19,10088,,,,,
-59.5,19,10099,,,,,
-59.5,19,10109,,,,,
-59.5,19,10120,,,,,
-60.9,20,10130,,,,,
-69.8,27,10141,,,,,
-63.5,27,10151,,,,,
-53.7,20,10162,,,,,
-60,20,10172,,,,,
-58.6,19,10183,,,,,
-59.5,19,10194,,,,,
-55.3,16,10204,,,,,
-58,16,10215,,,,,
-58,16,10226,,,,,
-58,16,10236,,,,,
-58,16,10247,,,,,
-72,26,10257,,,,,
-54.6,20,10267,,,,,
-60,20,10278,,,,,
-62.8,22,10288,,,,,
-61,22,10298,,,,,
-61,22,10309,,,,,
-61,22,10320,,,,,
-62.4,23,10330,,,,,
-60.1,22,10340,,,,,
-59.6,21,10351,,,,,
-61.9,22,10361,,,,,
